BuildingType,GHGEmissionsIntensity,LargestPropertyUseType,Latitude,ListOfAllPropertyUseTypes,Longitude,Neighborhood,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,TotalGHGEmissions,NumberofBuildings,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),buildingAge,SteamRatio,ElectricityRatio,NaturalGasRatio
School,0.57,K-12 School,47.65671,K-12 School,-122.39047,MAGNOLIA / QUEEN ANNE,2.0,50.0,K-12 School,54986.0,0.0,54986.0,31.47,1.0,54986.0,97.0,30.0,1650279.25,26.0,0.0,0.7378078588820649,0.262191989628422
School,1.52,K-12 School,47.68252,K-12 School,-122.29498,NORTHEAST,2.0,51.0,K-12 School,175565.0,0.0,175565.0,266.05,1.0,182861.0,88.0,35.0,6399127.5,66.0,0.0,0.24998470494610397,0.7500152169182439
NonResidential,1.38,Office,47.66587,"Non-Refrigerated Warehouse, Office",-122.38476,BALLARD,2.0,52.0,Small- and Mid-Sized Office,94900.0,0.0,94900.0,130.56,1.0,55586.0,57.0,65.19999695,6186461.5,55.0,0.0,0.6937059254308784,0.30629399374747585
NonResidential,1.6,Office,47.58034,"Office, Other - Education",-122.31132,GREATER DUWAMISH,2.0,53.0,Small- and Mid-Sized Office,52554.0,0.0,52554.0,83.86,1.0,51029.0,83.0,50.09999847,2951331.25,116.0,0.0,0.5352665852062523,0.4647333300862111
NonResidential,1.42,K-12 School,47.68891,K-12 School,-122.33553,NORTHWEST,3.0,54.0,K-12 School,175015.0,0.0,175015.0,247.85,1.0,175015.0,95.0,40.0,6994740.5,62.0,0.0,0.3831077078556381,0.6168922206620817
NonResidential,0.64,Self-Storage Facility,47.61351,"Office, Self-Storage Facility, Vocational School",-122.35129,DOWNTOWN,3.0,55.0,Self-Storage Facility,70586.0,0.0,70586.0,45.43,1.0,38439.0,39.0,30.60000038,2158629.0,105.0,0.0,0.69499158956912,0.30500841043087995
NonResidential,0.89,Hotel,47.60946,Hotel,-122.33337,DOWNTOWN,24.0,56.0,Hotel,126240.0,205970.0,332210.0,295.33,1.0,348630.0,67.0,46.40000153,16163194.0,47.0,0.0,0.7550739043285628,0.2449260338024774
NonResidential,0.4,Office,47.6113,"Data Center, Office, Retail Store",-122.33659,DOWNTOWN,5.0,57.0,Large Office,168115.0,0.0,168115.0,66.48,1.0,103362.0,78.0,56.29999924,9536161.0,43.0,0.0,0.9999998951359986,0.0
NonResidential,0.58,Other - Mall,47.61076,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",-122.33765,DOWNTOWN,2.0,58.0,Other,57428.0,0.0,57428.0,33.26,1.0,51747.0,81.33333333333333,21.70000076,1247362.0,96.0,0.0,0.5731607985492584,0.42683920145074167
NonResidential,0.6,Office,47.61048,"Office, Retail Store",-122.33794,DOWNTOWN,8.0,59.0,Small- and Mid-Sized Office,59400.0,0.0,59400.0,35.36,1.0,34947.0,14.0,85.40000153,5071974.0,106.0,0.0,0.9999998028381061,0.0
NonResidential,11.12,Other - Entertainment/Public Assembly,47.60886,"Office, Other - Entertainment/Public Assembly, Restaurant",-122.33744,DOWNTOWN,2.0,60.0,Mixed Use Property,52549.0,0.0,52549.0,584.31,1.0,23500.0,77.66666666666667,286.3999939,15026196.0,90.0,0.0,0.3082921985045317,0.6917078014954683
NonResidential,0.6,Hotel,47.61233,"Hotel, Parking, Restaurant",-122.33432,DOWNTOWN,20.0,62.0,Hotel,88591.0,10043.0,98634.0,59.19,1.0,83591.0,71.0,54.59999847,4841347.5,86.0,0.0,0.8861291200435416,0.11387077667942655
NonResidential,2.47,Hotel,47.61087,"Hotel, Parking, Swimming Pool",-122.33339,DOWNTOWN,34.0,63.0,Hotel,847518.0,146694.0,994212.0,2451.58,1.0,994212.0,63.0,80.90000153,80469216.0,34.0,0.1441381757714652,0.5659994127443717,0.2898622996401506
NonResidential,1.89,Hotel,47.60997,"Hotel, Parking, Restaurant, Retail Store",-122.34138,DOWNTOWN,7.0,65.0,Hotel,71150.0,0.0,71150.0,134.38,1.0,41340.0,98.0,93.09999847,5348309.0,31.0,0.0,0.606528156843593,0.3934716561814211
NonResidential,1.85,Hotel,47.61155,"Hotel, Other - Entertainment/Public Assembly, Retail Store",-122.34114,DOWNTOWN,7.0,66.0,Hotel,122810.0,0.0,122810.0,227.18,1.0,88360.0,99.0,44.0,5401277.5,108.0,0.0,0.2394916758118797,0.7605082316174275
NonResidential,1.28,Hotel,47.61986,"Hotel, Parking",-122.34413,LAKE UNION,5.0,67.0,Hotel,70627.0,42546.0,113173.0,144.79,1.0,70627.0,86.0,74.80000305,5284343.5,57.0,0.0,0.5572461366298387,0.4427537687510284
NonResidential,1.33,Hotel,47.62001,Hotel,-122.34274,LAKE UNION,7.0,68.0,Hotel,115718.0,34735.0,150453.0,199.95,1.0,107547.0,84.0,60.70000076,6715187.0,16.0,0.0,0.5057355811535852,0.49426441884641487
NonResidential,1.4,Hotel,47.62025,Hotel,-122.34314,LAKE UNION,6.0,69.0,Hotel,88100.0,28200.0,116300.0,162.39,1.0,88490.0,80.0,65.90000153,5827595.5,19.0,0.0,0.547130802060644,0.4528691121406762
NonResidential,0.98,Hotel,47.62023,Hotel,-122.35951,MAGNOLIA / QUEEN ANNE,6.0,70.0,Hotel,118858.0,36744.0,155602.0,152.76,1.0,155602.0,81.0,43.90000153,6836900.0,18.0,0.0,0.666813468092264,0.3331863856426158
NonResidential,2.61,K-12 School,47.63442,K-12 School,-122.30793,EAST,3.0,73.0,K-12 School,56072.0,0.0,56072.0,146.34,1.0,56072.0,76.0,57.70000076,3234787.75,105.0,0.0,0.17060377454440404,0.8293959936011258
NonResidential,1.4,Hotel,47.62519,"Hotel, Parking",-122.34456,MAGNOLIA / QUEEN ANNE,4.0,77.0,Hotel,78051.0,44891.0,122942.0,171.64,1.0,78051.0,94.0,68.40000153,5337334.0,17.0,0.0,0.454108736683895,0.545891263316105
NonResidential,1.6,Office,47.60823,Office,-122.30956,CENTRAL,2.0,82.0,Small- and Mid-Sized Office,54984.0,0.0,54984.0,87.98,1.0,54984.0,71.0,61.40000153,3375211.0,54.0,0.0,0.5861055797696796,0.4138944202303204
NonResidential,7.94,Senior Care Community,47.55837,"Parking, Senior Care Community",-122.37751,SOUTHWEST,5.0,84.0,Senior Care Community,217603.0,0.0,217603.0,1727.11,1.0,296313.0,54.0,144.3999939,42792072.0,94.0,0.0,0.27633090540696414,0.7236690945930359
NonResidential,6.52,Senior Care Community,47.72426,Senior Care Community,-122.35599,NORTHWEST,2.0,85.0,Senior Care Community,93397.0,0.0,93397.0,609.1,1.0,93397.0,1.0,175.6000061,16402563.0,46.0,0.0,0.3462567404862277,0.6537431985476904
NonResidential,0.8,Hotel,47.61988,"Hotel, Parking",-122.33211,LAKE UNION,6.0,86.0,Hotel,63371.0,20732.0,84103.0,67.06,1.0,63371.0,74.0,58.5,3706100.25,8.0,0.0,0.7589346780352204,0.24106525450842836
School,0.08,K-12 School,47.5097,K-12 School,-122.37759,SOUTHWEST,2.0,87.0,K-12 School,53352.0,0.0,53352.0,4.19,1.0,65568.0,99.66666666666667,0.0,0.0,68.0,,inf,
NonResidential,2.41,Medical Office,47.61244,Medical Office,-122.3214,EAST,3.0,89.0,Medical Office,179014.0,0.0,179014.0,430.84,0.0,179014.0,48.0,93.30000305,16701055.0,51.0,0.0,0.5919676331824546,0.40803230694108844
NonResidential,3.43,Hotel,47.60898,Hotel,-122.32693,EAST,7.0,95.0,Hotel,76631.0,0.0,76631.0,262.75,1.0,76631.0,71.0,94.69999695,7258758.5,108.0,0.0,0.3665560715375777,0.6334438595801196
NonResidential,4.83,Medical Office,47.60845,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",-122.32637,EAST,6.0,96.0,Mixed Use Property,90439.0,9341.0,99780.0,481.97,1.0,40174.0,52.333333333333336,204.5,15473117.0,33.0,0.3443263887941906,0.6556735142634803,0.0
NonResidential,0.67,Retail Store,47.62237,Retail Store,-122.33805,LAKE UNION,2.0,98.0,Retail Store,58320.0,0.0,58320.0,39.06,1.0,72072.0,96.0,14.60000038,1049748.625,87.0,0.0,0.34465679819299594,0.6553426064263719
NonResidential,0.44,Office,47.62424,"Office, Other, Parking, Retail Store",-122.33646,LAKE UNION,5.0,100.0,Large Office,316306.0,0.0,316306.0,138.85,1.0,261826.0,96.0,48.0,13795954.0,6.0,0.0,0.9329612870556107,0.06703856797434958
NonResidential,1.86,Hotel,47.62642,"Hotel, Parking",-122.33325,LAKE UNION,7.0,102.0,Hotel,238097.0,44766.0,282863.0,526.85,1.0,235788.0,37.0,82.5,19459304.0,26.0,0.0,0.5642880135897974,0.4357119350209031
NonResidential,1.56,Other,47.62208,Other,-122.35398,MAGNOLIA / QUEEN ANNE,1.0,103.0,Other,389000.0,0.0,389000.0,607.41,1.0,368000.0,71.66666666666667,64.30000305,23658978.0,54.0,0.25754071033837556,0.6094576866338013,0.02910861153850348
NonResidential,3.77,Other,47.62208,Other,-122.35398,MAGNOLIA / QUEEN ANNE,1.0,104.0,Other,91213.0,0.0,91213.0,344.2,1.0,65000.0,67.66666666666667,125.1999969,8141155.5,54.0,0.5060866359818333,0.4611280302900491,0.0
